CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,ELAProf_Score,ELAProf_Weight,MathProf_Score,MathProf_Weight,Grad4YR_Score,Grad4YR_Weight,Grad5YR_Score,Grad5YR_Weight,ELAGrowth_Score,ELAGrowth_Weight,MathGrowth_Score,MathGrowth_Weight,ELP_Score,ELP_Weight,CA_Score,CA_Weight,SummativeScore,SummativeRating,CompSupport_Bottom5%,CompSupport_Grad67,AccountabilityIndicator,IndicatorScore,IndicatorWeight,Year
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,50.14,15.0%,59.03,15.0%,46.99,20.0%,35.06,20.0%,9999999,9999999,9999999,9999999,66.36,20.0%,26.44,10.0%,48.70,46.70,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,033,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,035,E. H. SLAYBAUGH ELEMENTARY SCHOOL,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,038,ALDER AVENUE MIDDLE SCHOOL,33.53,17.5%,35.72,17.5%,9999999,9999999,9999999,9999999,56.28,25.0%,80.00,25.0%,9999999,9999999,45.32,15.0%,52.99,54.27,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,039,FERNWOOD AVENUE MIDDLE SCHOOL,46.27,17.5%,32.76,17.5%,9999999,9999999,9999999,9999999,65.82,25.0%,63.44,25.0%,9999999,9999999,45.98,15.0%,53.04,54.38,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,045,DR. JOYANNE D. MILLER ELEMENTARY SCHOOL,39.22,17.5%,30.21,17.5%,9999999,9999999,9999999,9999999,23.64,25.0%,21.36,25.0%,9999999,9999999,68.47,15.0%,33.67,23.82,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,050,H. RUSSEL SWIFT ELEMENTARY SCHOOL,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,NA,NA,NA,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,050,ESTELL MANOR ELEMENTARY SCHOOL,36.85,17.5%,32.23,17.5%,9999999,9999999,9999999,9999999,74.11,25.0%,12.46,25.0%,9999999,9999999,11.15,15.0%,35.40,26.24,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1540,FOLSOM BORO,050,FOLSOM ELEMENTARY SCHOOL,24.53,17.5%,25.36,17.5%,9999999,9999999,9999999,9999999,33.71,25.0%,71.81,25.0%,9999999,9999999,92.63,15.0%,49.00,47.27,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,015,ARTHUR RANN ELEMENTARY SCHOOL,20.79,17.5%,59.30,17.5%,9999999,9999999,9999999,9999999,7.11,25.0%,73.00,25.0%,9999999,9999999,59.05,15.0%,42.90,36.73,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,016,GALLOWAY TOWNSHIP MIDDLE SCHOOL,21.33,17.5%,35.84,17.5%,9999999,9999999,9999999,9999999,1.78,25.0%,24.09,25.0%,9999999,9999999,35.55,15.0%,21.81,9.89,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,045,REEDS ROAD ELEMENTARY SCHOOL,24.76,17.5%,46.03,17.5%,9999999,9999999,9999999,9999999,30.09,25.0%,60.83,25.0%,9999999,9999999,45.50,15.0%,41.95,35.07,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,046,ROLAND ROGERS ELEMENTARY SCHOOL,20.14,17.5%,36.91,17.5%,9999999,9999999,9999999,9999999,15.34,25.0%,69.26,25.0%,9999999,9999999,40.89,15.0%,37.27,29.27,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,048,SMITHVILLE ELEMENTARY SCHOOL,16.00,15.0%,39.10,15.0%,9999999,9999999,9999999,9999999,5.15,20.0%,42.37,20.0%,40.43,20.0%,44.48,10.0%,30.30,19.31,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,ABSEGAMI HIGH SCHOOL,30.66,17.5%,55.59,17.5%,40.97,25.0%,30.46,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,30.46,15.0%,37.52,29.51,No,No,NA,NA,NA,2017-18
