CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,Teachers/Admins,Female,Male,White,Hispanic,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Two or More Races,Year
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,060,ATLANTIC COUNTY HIGH SCHOOL,Teachers,76.9,23.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,010,BRIGANTINE ELEMENTARY SCHOOL,Teachers,94.6,5.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0570,BRIGANTINE CITY,030,BRIGANTINE NORTH MIDDLE SCHOOL,Teachers,66.7,33.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,Admins,0.0,100.0,66.7,0.0,33.3,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,025,BUENA REGIONAL HIGH SCHOOL,Teachers,58.8,41.2,92.2,3.9,2.0,0.0,0.0,2.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,Admins,66.7,33.3,66.7,33.3,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,030,BUENA REGIONAL MIDDLE SCHOOL,Teachers,66.7,33.3,92.9,4.8,2.4,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,Admins,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,045,COLLINGS LAKES ELEMENTARY SCHOOL,Teachers,100.0,0.0,87.5,6.3,6.3,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,055,JOHN C. MILANESI ELEMENTARY SCHOOL,Teachers,100.0,0.0,89.5,10.5,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,0590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,Teachers,82.6,17.4,95.7,0.0,4.3,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,020,CHARLES L. SPRAGG SCHOOL,Teachers,95.7,4.3,95.7,4.3,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1300,EGG HARBOR CITY,030,EGG HARBOR CITY COMMUNITY SCHOOL,Teachers,61.5,38.5,96.2,0.0,0.0,3.8,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,Admins,52.9,47.1,94.1,0.0,5.9,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,005,EGG HARBOR TOWNSHIP HIGH SCHOOL,Teachers,58.5,41.5,95.4,3.1,1.0,0.0,0.5,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,033,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,033,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,Teachers,92.6,7.4,96.3,0.0,3.7,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,035,E. H. SLAYBAUGH ELEMENTARY SCHOOL,Admins,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,035,E. H. SLAYBAUGH ELEMENTARY SCHOOL,Teachers,96.1,3.9,94.1,0.0,3.9,0.0,2.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,038,ALDER AVENUE MIDDLE SCHOOL,Admins,33.3,66.7,66.7,0.0,33.3,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,038,ALDER AVENUE MIDDLE SCHOOL,Teachers,74.4,25.6,94.9,1.3,1.3,0.0,2.6,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,039,FERNWOOD AVENUE MIDDLE SCHOOL,Admins,33.3,66.7,66.7,0.0,33.3,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,039,FERNWOOD AVENUE MIDDLE SCHOOL,Teachers,69.6,30.4,94.9,3.8,1.3,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,045,DR. JOYANNE D. MILLER ELEMENTARY SCHOOL,Admins,66.7,33.3,66.7,0.0,33.3,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,045,DR. JOYANNE D. MILLER ELEMENTARY SCHOOL,Teachers,82.2,17.8,93.3,2.2,1.1,0.0,3.3,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,050,H. RUSSEL SWIFT ELEMENTARY SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1310,EGG HARBOR TWP,050,H. RUSSEL SWIFT ELEMENTARY SCHOOL,Teachers,91.9,8.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,050,ESTELL MANOR ELEMENTARY SCHOOL,Admins,33.3,66.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1410,ESTELL MANOR CITY,050,ESTELL MANOR ELEMENTARY SCHOOL,Teachers,81.3,18.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1540,FOLSOM BORO,050,FOLSOM ELEMENTARY SCHOOL,Admins,66.7,33.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1540,FOLSOM BORO,050,FOLSOM ELEMENTARY SCHOOL,Teachers,89.7,10.3,92.3,0.0,2.6,5.1,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,015,ARTHUR RANN ELEMENTARY SCHOOL,Admins,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,015,ARTHUR RANN ELEMENTARY SCHOOL,Teachers,89.2,10.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,016,GALLOWAY TOWNSHIP MIDDLE SCHOOL,Admins,100.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,016,GALLOWAY TOWNSHIP MIDDLE SCHOOL,Teachers,68.8,31.3,96.9,1.6,1.6,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,040,POMONA PRESCHOOL,Admins,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,040,POMONA PRESCHOOL,Teachers,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,045,REEDS ROAD ELEMENTARY SCHOOL,Admins,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,045,REEDS ROAD ELEMENTARY SCHOOL,Teachers,87.0,13.0,98.1,1.9,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,046,ROLAND ROGERS ELEMENTARY SCHOOL,Admins,100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,046,ROLAND ROGERS ELEMENTARY SCHOOL,Teachers,84.6,15.4,88.5,3.8,7.7,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,048,SMITHVILLE ELEMENTARY SCHOOL,Admins,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1690,GALLOWAY TWP,048,SMITHVILLE ELEMENTARY SCHOOL,Teachers,87.3,12.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,ABSEGAMI HIGH SCHOOL,Admins,44.4,55.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,040,ABSEGAMI HIGH SCHOOL,Teachers,57.5,42.5,97.2,1.9,0.9,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,Admins,25.0,75.0,87.5,12.5,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,Teachers,51.6,48.4,95.6,1.1,3.3,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,Admins,42.9,57.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,Teachers,52.7,47.3,91.9,4.1,4.1,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1940,HAMILTON TWP,055,GEORGE L. HESS EDUCATIONAL COMPLEX,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1940,HAMILTON TWP,055,GEORGE L. HESS EDUCATIONAL COMPLEX,Teachers,86.1,13.9,95.7,1.7,0.9,1.7,0.0,0.0,0.0,2017-18
01,ATLANTIC,1940,HAMILTON TWP,060,JOSEPH C SHANER MEMORIAL ELEMENTARY SCHOOL,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1940,HAMILTON TWP,060,JOSEPH C SHANER MEMORIAL ELEMENTARY SCHOOL,Teachers,95.7,4.3,93.6,0.0,4.3,2.1,0.0,0.0,0.0,2017-18
01,ATLANTIC,1940,HAMILTON TWP,120,WILLIAM DAVIES MIDDLE SCHOOL,Admins,50.0,50.0,50.0,25.0,25.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1940,HAMILTON TWP,120,WILLIAM DAVIES MIDDLE SCHOOL,Teachers,76.1,23.9,98.9,0.0,1.1,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,030,HAMMONTON EARLY CHILDHOOD EDUCTIONAL CENTER,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,030,HAMMONTON EARLY CHILDHOOD EDUCTIONAL CENTER,Teachers,93.8,6.3,90.6,9.4,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,Admins,25.0,75.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,Teachers,58.9,41.1,92.6,6.3,1.1,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,055,WARREN E. SOOY JR. ELEMENTARY SCHOOL,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,055,WARREN E. SOOY JR. ELEMENTARY SCHOOL,Teachers,90.6,9.4,95.3,4.7,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,060,HAMMONTON MIDDLE SCHOOL,Admins,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,060,HAMMONTON MIDDLE SCHOOL,Teachers,73.0,27.0,98.4,0.0,0.0,1.6,0.0,0.0,0.0,2017-18
01,ATLANTIC,2680,LINWOOD CITY,020,BELHAVEN MIDDLE SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,2680,LINWOOD CITY,020,BELHAVEN MIDDLE SCHOOL,Teachers,71.4,28.6,97.1,2.9,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,2680,LINWOOD CITY,050,SEAVIEW ELEMENTARY SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,2680,LINWOOD CITY,050,SEAVIEW ELEMENTARY SCHOOL,Teachers,89.7,10.3,97.4,0.0,0.0,2.6,0.0,0.0,0.0,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,Admins,50.0,50.0,90.0,0.0,10.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,Teachers,56.4,43.6,96.4,0.9,1.8,0.9,0.0,0.0,0.0,2017-18
01,ATLANTIC,3020,MARGATE CITY,010,EUGENE A. TIGHE MIDDLE SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3020,MARGATE CITY,010,EUGENE A. TIGHE MIDDLE SCHOOL,Teachers,76.9,23.1,92.3,7.7,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3020,MARGATE CITY,025,WILLIAM H. ROSS III SCHOOL,Admins,66.7,33.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3020,MARGATE CITY,025,WILLIAM H. ROSS III SCHOOL,Teachers,96.2,3.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3480,MULLICA TWP,020,MULLICA TOWNSHIP PRIMARY SCHOOL,Admins,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3480,MULLICA TWP,020,MULLICA TOWNSHIP PRIMARY SCHOOL,Teachers,87.5,12.5,93.8,6.3,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3480,MULLICA TWP,025,MULLICA TOWNSHIP MIDDLE SCHOOL,Admins,66.7,33.3,66.7,33.3,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3480,MULLICA TWP,025,MULLICA TOWNSHIP MIDDLE SCHOOL,Teachers,66.7,33.3,96.7,3.3,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,056,NORTHFIELD COMMUNITY MIDDLE SCHOOL,Admins,0.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,056,NORTHFIELD COMMUNITY MIDDLE SCHOOL,Teachers,74.4,25.6,95.3,2.3,0.0,2.3,0.0,0.0,0.0,2017-18
